case,size,det_mod_65521,full_augmented
1121,226,5248,1
1122,226,19391,1
1123,226,7722,1
1124,226,42721,1
1125,226,60966,1
1126,226,34363,1
1127,226,48131,1
1128,226,57809,1
1129,226,3008,1
1130,226,2827,1
1131,226,29052,1
1132,226,21907,1
1133,226,15599,1
1134,226,43416,1
1135,226,184,1
1136,226,56631,1
1137,226,60239,1
1138,226,870,1
1139,226,64876,1
1140,226,16105,1
1141,226,26955,1
1142,226,61369,1
1143,226,18725,1
1144,226,45673,1
1145,226,23684,1
1146,226,4416,1
1147,226,64957,1
1148,226,46398,1
1149,226,19124,1
1150,226,23633,1
1151,226,10834,1
1152,226,13528,1
1153,226,63390,1
1154,226,42613,1
1155,226,13865,1
1156,226,4165,1
1157,226,15463,1
1158,226,23076,1
1159,226,5785,1
1160,226,27719,1
1161,226,22570,1
1162,226,48084,1
1163,226,34134,1
1164,226,15139,1
1165,226,36163,1
1166,226,19956,1
1167,226,43214,1
1168,226,17092,1
1169,226,64462,1
1170,226,32337,1
1171,226,40734,1
1172,226,19230,1
1173,226,19903,1
1174,226,16065,1
1175,226,41645,1
1176,226,3270,1
1177,226,6819,1
1178,226,32497,1
1179,226,30097,1
